Symbol,Nazwa,Kurs,Zmiana%,Zmiana,Wolumen,Data
EOSE.US,EOS ENERGY ENTERPRISES,1.18,-7.81%,-0.1,4210000.0,13 lis
ROIV.US,ROIVANT SCIENCES,9.05,+2.72%,0.24,4150000.0000000005,13 lis
PDD.US,PDD HOLDINGS,109.23,+0.17%,0.19,4139999.9999999995,13 lis
AMAT.US,APPLIED MATERIALS,149.74,-0.62%,-0.94,4130000.0,13 lis
NVAX.US,NOVAVAX,6.27,+0.48%,0.03,4110000.0000000005,13 lis
PCT.US,PURECYCLE TECHNOLOGIES,3.06,-9.20%,-0.31,4080000.0,13 lis
TPST.US,TEMPEST THERAPEUTICS,3.45,+7.14%,0.23,4000000.0,13 lis
ILMN.US,ILLUMINA,92.79,-5.67%,-5.58,3970000.0,13 lis
XRAY.US,DENTSPLY SIRONA,27.91,-1.69%,-0.48,3960000.0,13 lis
TSEM.US,TOWER SEMICONDUCTOR,25.48,+3.87%,0.95,3940000.0,13 lis
EVGO.US,EVGO,2.76,+9.52%,0.24,3870000.0,13 lis
WYNN.US,WYNN RESORTS,84.54,-1.11%,-0.95,3780000.0,13 lis
LILM.US,LILIUM,0.7904,-2.30%,-0.0186,3780000.0,13 lis
LXRX.US,LEXICON PHARMACEUTICALS,1.07,+5.94%,0.06,3780000.0,13 lis
REAL.US,REALREAL,1.95,-6.25%,-0.13,3740000.0,13 lis
MNDY.US,MONDAY.COM,154.83,+10.50%,14.71,3730000.0,13 lis
FTCI.US,FTC SOLAR,0.4495,+2.14%,0.0094,3720000.0,13 lis
BTBT.US,BIT DIGITAL,1.97,-5.74%,-0.12,3700000.0,13 lis
ICU.US,SeaStar Medical Holding Corp,0.59,+3.51%,0.02,3690000.0,13 lis
DBX.US,DROPBOX,27.03,+1.58%,0.42,3660000.0,13 lis
ASTS.US,AST SPACEMOBILE,4.0,-7.19%,-0.31,3640000.0,13 lis
AIRE.US,REALPHA TECH,5.89,+33.86%,1.49,3620000.0,13 lis
ENVX.US,ENOVIX,10.4,-0.38%,-0.04,3600000.0,13 lis
MCHP.US,MICROCHIP TECHNOLOGY,76.62,-1.21%,-0.94,3580000.0,13 lis
PRPL.US,PURPLE INNOVATION,0.5859,+3.90%,0.022,3580000.0,13 lis
TSLQ.US,AXS TSLA BEAR DAILY ETF,35.52,-4.18%,-1.55,3560000.0,13 lis
IQ.US,IQIYI,4.88,+1.04%,0.05,3540000.0,13 lis
SHLS.US,SHOALS TECHNOLOGIES GROUP,13.53,+0.82%,0.11,3500000.0,13 lis
MNST.US,Monster Beverage Corp,55.54,+0.47%,0.26,3460000.0,13 lis
WDC.US,WESTERN DIGITAL,45.18,+0.40%,0.18,3460000.0,13 lis
CFLT.US,CONFLUENT,17.96,+1.58%,0.28,3440000.0,13 lis
APP.US,APPLOVIN,41.41,-5.44%,-2.38,3430000.0,13 lis
BILI.US,BILIBILI,14.35,+1.34%,0.19,3420000.0,13 lis
FITB.US,FIFTH THIRD BANCORP,25.11,+0.20%,0.05,3410000.0,13 lis
GEN.US,GEN DIGITAL,18.9,-1.97%,-0.38,3410000.0,13 lis
ABNB.US,AIRBNB,119.15,+0.85%,1.0,3410000.0,13 lis
TGTX.US,TG THERAPEUTICS,10.25,+0.29%,0.03,3410000.0,13 lis
GEVO.US,GEVO,1.08,-1.82%,-0.02,3380000.0,13 lis
HSIC.US,HENRY SCHEIN,67.5,+5.35%,3.43,3370000.0,13 lis
MRTX.US,MIRATI THERAPEUTICS,56.26,-0.05%,-0.03,3360000.0,13 lis
GT.US,GOODYEAR TIRE & RUBBER,13.01,+1.25%,0.16,3360000.0,13 lis
PGY.US,Pagaya Technologies Ltd,1.23,-0.81%,-0.01,3350000.0,13 lis
DASH.US,DOORDASH,89.77,+2.63%,2.3,3340000.0,13 lis
BTAI.US,BIOXCEL THERAPEUTICS,5.51,+6.58%,0.34,3310000.0,13 lis
RVNC.US,REVANCE THERAPEUTICS,5.81,-2.68%,-0.16,3300000.0,13 lis
BEAM.US,BEAM THERAPEUTICS,21.94,-0.99%,-0.22,3290000.0,13 lis
NEGG.US,NEWEGG COMMERCE,0.719,+29.50%,0.1638,3280000.0,13 lis
FTRE.US,FORTREA HOLDINGS,30.92,+9.61%,2.71,3280000.0,13 lis
ADI.US,ANALOG DEVICES,170.66,-0.96%,-1.66,3240000.0,13 lis
BLUE.US,BLUEBIRD BIO,3.02,+1.34%,0.04,3220000.0,13 lis
MRAI.US,MARPAI,0.64,-6.50%,-0.0445,3210000.0,13 lis
CLOV.US,CLOVER HEALTH INVESTMENTS,0.8994,-0.41%,-0.0037,3200000.0,13 lis
RXRX.US,RECURSION PHARMACEUTICALS,5.83,+6.78%,0.37,3200000.0,13 lis
VUZI.US,VUZIX,1.93,-25.19%,-0.65,3180000.0,13 lis
MRNA.US,MODERNA,70.21,+0.23%,0.16,3170000.0,13 lis
APA.US,APA,36.65,-0.73%,-0.27,3170000.0,13 lis
TMUS.US,T-MOBILE US,147.21,-0.27%,-0.4,3150000.0,13 lis
NWSA.US,NEWS,20.45,-2.25%,-0.47,3130000.0,13 lis
HTZ.US,HERTZ GLOBAL HOLDINGS,8.14,-5.13%,-0.44,3120000.0,13 lis
WISA.US,WISA TECHNOLOGIES,0.1484,+2.34%,0.0034,3100000.0,13 lis
CRWD.US,CROWDSTRIKE HOLDINGS,200.96,+2.37%,4.65,3090000.0,13 lis
EJH.US,E-Home Household Service Holdi,3.37,+16.21%,0.47,3040000.0,13 lis
ARDX.US,ARDELYX,3.76,+5.62%,0.2,3030000.0,13 lis
ADPT.US,ADAPTIVE BIOTECHNOLOGIES,3.455,-1.57%,-0.055,3020000.0,13 lis
GRTX.US,GALERA THERAPEUTICS,0.1361,+9.76%,0.0121,3000000.0,13 lis
TSHA.US,TAYSHA GENE THERAPIES,1.33,-11.63%,-0.175,3000000.0,13 lis
JAN.US,JanOne,0.395,-26.46%,-0.1421,3000000.0,13 lis
